id,osm_id,name,chain,latitude,longitude,address
110,way/1066054453,Arhelan,arhelan,53.3810858,22.1582798,"Polowa 7, Stawiski"
111,way/1103592549,Arhelan,arhelan,52.7834801,23.2089087,"Adama Mickiewicza 200B, Bielsk Podlaski"
112,way/1103637876,Arhelan,arhelan,52.7662806,23.2054825,"Chmielna 27F, Bielsk Podlaski"
113,way/1126986653,Arhelan,arhelan,52.7412781,22.8342162,"Binduga 2, Brańsk"
114,way/1147177448,Arhelan,arhelan,53.7671359,22.3335744,"Nowowiejska 1A, Nowa Wieś Ełcka"
115,way/1156548169,Arhelan,arhelan,52.6977827,21.8482072,"Jarosława Dąbrowskiego 34, Brok"
116,way/1190419412,Arhelan,arhelan,53.1258062,23.268244,"Jeżynowa 2, Grabówka"
117,way/1214216726,Arhelan,arhelan,52.7278746,23.5904997,"Józefa Piłsudskiego 52, Hajnówka"
118,way/1246056928,Arhelan,arhelan,53.1512177,21.8141788,"Czartoryjska 2, Miastkowo"
119,way/1246216222,Arhelan,arhelan,53.392397,23.034748,"Lipowa 1, Jasionówka"
120,way/1262338203,Arhelan,arhelan,53.2617761,23.7671913,"Kościelna 26, Krynki"
121,way/1377191476,Arhelan,arhelan,52.5191715,23.1320442,"3 Maja 52, Milejczyce"
